"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1612138800000,0.472,0.4744,0.4634,0.4744,7722.8,3610.4,"force_direct","",1612138800,"2021-01-31"
1612139100000,0.4654,0.472,0.46,0.472,7096.32,3327.75,"force_direct","",1612139100,"2021-01-31"
1612139400000,0.4736,0.4736,0.4654,0.4654,145.76,68.68,"force_direct","",1612139400,"2021-01-31"
1612139700000,0.4756,0.4756,0.4736,0.4736,244.12,116.04,"force_direct","",1612139700,"2021-01-31"
1612140000000,0.4695,0.4756,0.4695,0.4756,4730.37,2248.96,"force_direct","",1612140000,"2021-01-31"
1612140300000,0.4767,0.4798,0.4695,0.4695,8531.37,4018.81,"force_direct","",1612140300,"2021-01-31"
1612140600000,0.4767,0.4767,0.4767,0.4767,0,0,"force_direct","",1612140600,"2021-01-31"
1612140900000,0.4765,0.4767,0.4765,0.4767,5935.21,2828.13,"force_direct","",1612140900,"2021-01-31"
1612141200000,0.4788,0.4788,0.4765,0.4765,243.61,116.54,"force_direct","",1612141200,"2021-01-31"
1612141500000,0.4834,0.4834,0.4766,0.4788,8855.5,4232.44,"force_direct","",1612141500,"2021-01-31"
1612141800000,0.4785,0.4834,0.4785,0.4834,4,1.914,"force_direct","",1612141800,"2021-01-31"
1612142100000,0.4832,0.4859,0.4785,0.4785,1876.86,910.24,"force_direct","",1612142100,"2021-01-31"
1612142400000,0.4853,0.4859,0.4793,0.4832,6495.43,3151.19,"force_direct","",1612142400,"2021-01-31"
1612142700000,0.4838,0.4853,0.4838,0.4853,1426.42,690.1,"force_direct","",1612142700,"2021-01-31"
1612143000000,0.4842,0.4844,0.482,0.4838,759.61,367.57,"force_direct","",1612143000,"2021-01-31"
1612143300000,0.4896,0.4898,0.484,0.4842,6275.29,3055.25,"force_direct","",1612143300,"2021-01-31"
1612143600000,0.4816,0.4896,0.4816,0.4896,17.66,8.507,"force_direct","",1612143600,"2021-01-31"
1612143900000,0.48,0.4847,0.478,0.4816,5428.19,2609.9,"force_direct","",1612143900,"2021-01-31"
1612144200000,0.4802,0.4812,0.4776,0.48,1021.12,489.94,"force_direct","",1612144200,"2021-01-31"
1612144500000,0.4781,0.4812,0.4781,0.4802,5637.04,2700.21,"force_direct","",1612144500,"2021-01-31"
1612144800000,0.4794,0.4819,0.4771,0.4781,6755.08,3242.34,"force_direct","",1612144800,"2021-01-31"
1612145100000,0.4817,0.4829,0.4794,0.4794,59.49,28.69,"force_direct","",1612145100,"2021-01-31"
1612145400000,0.4781,0.4817,0.4756,0.4817,11304.93,5417.3,"force_direct","",1612145400,"2021-01-31"
1612145700000,0.4793,0.4824,0.478,0.4781,1132.86,542.54,"force_direct","",1612145700,"2021-01-31"
1612146000000,0.4837,0.4837,0.478,0.4793,16319.45,7845.78,"force_direct","",1612146000,"2021-01-31"
1612146300000,0.4785,0.4837,0.4783,0.4837,183.53,87.99,"force_direct","",1612146300,"2021-01-31"
1612146600000,0.486,0.486,0.4785,0.4785,2342.88,1136.16,"force_direct","",1612146600,"2021-01-31"
1612146900000,0.4842,0.4896,0.4842,0.486,3405.55,1662.93,"force_direct","",1612146900,"2021-01-31"
1612147200000,0.484,0.4878,0.4815,0.4842,279.43,135.47,"force_direct","",1612147200,"2021-01-31"
1612147500000,0.4842,0.4856,0.4824,0.484,1644.83,797.39,"force_direct","",1612147500,"2021-01-31"
1612147800000,0.485,0.4888,0.4824,0.4842,1780.39,862.49,"force_direct","",1612147800,"2021-01-31"
1612148100000,0.4873,0.4873,0.485,0.485,4644.12,2254.7,"force_direct","",1612148100,"2021-01-31"
1612148400000,0.486,0.4873,0.4851,0.4873,36.97,17.96,"force_direct","",1612148400,"2021-01-31"
1612148700000,0.4929,0.4935,0.486,0.486,4198.8,2061.4,"force_direct","",1612148700,"2021-01-31"
1612149000000,0.4922,0.4955,0.4922,0.4929,114.97,56.9,"force_direct","",1612149000,"2021-01-31"
1612149300000,0.5,0.5018,0.4922,0.4922,6598.22,3301.48,"force_direct","",1612149300,"2021-01-31"
1612149600000,0.5385,0.5385,0.5,0.5,25841.32,13212.79,"force_direct","",1612149600,"2021-01-31"
1612149900000,0.5499,0.55,0.5235,0.5385,15694.96,8452.49,"force_direct","",1612149900,"2021-01-31"
1612150200000,0.533,0.5499,0.5249,0.5499,5429.7,2903.06,"force_direct","",1612150200,"2021-01-31"
1612150500000,0.554,0.554,0.5323,0.533,15345.37,8259.88,"force_direct","",1612150500,"2021-01-31"
1612150800000,0.5782,0.58,0.5509,0.554,24557.13,13844.65,"force_direct","",1612150800,"2021-01-31"
1612151100000,0.58,0.58,0.5558,0.5782,9917,5624.07,"force_direct","",1612151100,"2021-01-31"
1612151400000,0.5699,0.58,0.5583,0.58,3341.33,1889.38,"force_direct","",1612151400,"2021-01-31"
1612151700000,0.55,0.5773,0.5489,0.5699,34878.87,19819.57,"force_direct","",1612151700,"2021-01-31"
1612152000000,0.5533,0.5689,0.5422,0.55,15430.28,8569.67,"force_direct","",1612152000,"2021-01-31"
1612152300000,0.5641,0.57,0.5533,0.5533,11889.04,6706.42,"force_direct","",1612152300,"2021-01-31"
1612152600000,0.5661,0.57,0.5614,0.5641,3650.74,2079.22,"force_direct","",1612152600,"2021-01-31"
1612152900000,0.573,0.573,0.5661,0.5661,4735.09,2703.31,"force_direct","",1612152900,"2021-01-31"
1612153200000,0.595,0.595,0.573,0.573,12162.83,7116.16,"force_direct","",1612153200,"2021-01-31"
1612153500000,0.5967,0.6,0.5841,0.595,1794.88,1073.02,"force_direct","",1612153500,"2021-01-31"
1612153800000,0.6,0.6,0.59,0.5967,5858.39,3505.26,"force_direct","",1612153800,"2021-01-31"
1612154100000,0.5855,0.6,0.5855,0.6,4337.36,2561.04,"force_direct","",1612154100,"2021-01-31"
1612154400000,0.5868,0.5868,0.5716,0.5855,12736.97,7358.81,"force_direct","",1612154400,"2021-01-31"
1612154700000,0.5855,0.5899,0.5769,0.5868,8822.33,5159.45,"force_direct","",1612154700,"2021-01-31"
1612155000000,0.5779,0.5855,0.5777,0.5855,3435.67,1989.21,"force_direct","",1612155000,"2021-01-31"
1612155300000,0.5785,0.5866,0.5779,0.5779,1474.21,854.5,"force_direct","",1612155300,"2021-01-31"
1612155600000,0.57,0.5799,0.57,0.5785,6733,3874.15,"force_direct","",1612155600,"2021-01-31"
1612155900000,0.5686,0.5724,0.5651,0.57,1662.88,944.9,"force_direct","",1612155900,"2021-01-31"
1612156200000,0.5834,0.5931,0.5685,0.5686,4784.18,2778.36,"force_direct","",1612156200,"2021-01-31"
1612156500000,0.5736,0.5834,0.572,0.5834,4176.88,2398.69,"force_direct","",1612156500,"2021-01-31"
1612156800000,0.572,0.58,0.572,0.5736,1786.19,1024.35,"force_direct","",1612156800,"2021-01-31"
1612157100000,0.5599,0.572,0.553,0.572,13504.94,7538.62,"force_direct","",1612157100,"2021-01-31"
1612157400000,0.5681,0.5681,0.5565,0.5599,12647.93,7053.92,"force_direct","",1612157400,"2021-01-31"
1612157700000,0.5715,0.5783,0.561,0.5681,2665.91,1517.47,"force_direct","",1612157700,"2021-01-31"
1612158000000,0.5719,0.5745,0.5645,0.5715,8230.29,4701.9,"force_direct","",1612158000,"2021-01-31"
1612158300000,0.5672,0.5719,0.5672,0.5719,1031.35,586.88,"force_direct","",1612158300,"2021-01-31"
1612158600000,0.58,0.58,0.5672,0.5672,12196.43,7009.96,"force_direct","",1612158600,"2021-01-31"
1612158900000,0.5842,0.587,0.5775,0.58,11822.67,6867.86,"force_direct","",1612158900,"2021-01-31"
1612159200000,0.5842,0.5842,0.5751,0.5842,10333.31,5999.42,"force_direct","",1612159200,"2021-02-01"
1612159500000,0.5799,0.5842,0.5751,0.5842,982.06,567.85,"force_direct","",1612159500,"2021-02-01"
1612159800000,0.5792,0.5799,0.578,0.5799,5273.62,3054.41,"force_direct","",1612159800,"2021-02-01"
1612160100000,0.5785,0.5808,0.5781,0.5792,47925.98,27727.58,"force_direct","",1612160100,"2021-02-01"
1612160400000,0.5826,0.5847,0.578,0.5785,23049.09,13349.79,"force_direct","",1612160400,"2021-02-01"
1612160700000,0.59,0.59,0.5826,0.5826,2015.39,1183.39,"force_direct","",1612160700,"2021-02-01"
1612161000000,0.5887,0.59,0.5879,0.59,765.21,450.8,"force_direct","",1612161000,"2021-02-01"
1612161300000,0.5856,0.5889,0.5815,0.5887,110.28,64.47,"force_direct","",1612161300,"2021-02-01"
1612161600000,0.585,0.59,0.5815,0.5856,731.54,428.13,"force_direct","",1612161600,"2021-02-01"
1612161900000,0.575,0.585,0.5714,0.585,3804.33,2200.97,"force_direct","",1612161900,"2021-02-01"
1612162200000,0.5847,0.5847,0.5726,0.575,1041.26,601.2,"force_direct","",1612162200,"2021-02-01"
1612162500000,0.5744,0.5847,0.5729,0.5847,156.02,89.6,"force_direct","",1612162500,"2021-02-01"
1612162800000,0.5819,0.585,0.572,0.5744,2732.2,1576.74,"force_direct","",1612162800,"2021-02-01"
1612163100000,0.5819,0.5819,0.5819,0.5819,0,0,"force_direct","",1612163100,"2021-02-01"
1612163400000,0.5819,0.5819,0.5819,0.5819,0,0,"force_direct","",1612163400,"2021-02-01"
1612163700000,0.585,0.585,0.5819,0.5819,1712.26,1001.62,"force_direct","",1612163700,"2021-02-01"
1612164000000,0.585,0.585,0.585,0.585,44.17,25.84,"force_direct","",1612164000,"2021-02-01"
1612164300000,0.585,0.585,0.585,0.585,0,0,"force_direct","",1612164300,"2021-02-01"
1612164600000,0.58,0.585,0.58,0.585,3508.74,2035.11,"force_direct","",1612164600,"2021-02-01"
1612164900000,0.5813,0.5852,0.58,0.58,615.25,359.45,"force_direct","",1612164900,"2021-02-01"
1612165200000,0.5886,0.5886,0.5801,0.5813,5212.43,3067.11,"force_direct","",1612165200,"2021-02-01"
1612165500000,0.5985,0.5985,0.5862,0.5886,50.95,30.12,"force_direct","",1612165500,"2021-02-01"
1612165800000,0.621,0.621,0.5985,0.5985,11494.5,6935.95,"force_direct","",1612165800,"2021-02-01"
1612166100000,0.6284,0.6284,0.5906,0.621,9754.85,6072.53,"force_direct","",1612166100,"2021-02-01"
1612166400000,0.64,0.64,0.6101,0.6284,5780.32,3657.46,"force_direct","",1612166400,"2021-02-01"
1612166700000,0.6264,0.6459,0.6251,0.64,6524.02,4150.89,"force_direct","",1612166700,"2021-02-01"
1612167000000,0.6333,0.64,0.62,0.6264,2569.39,1599.2,"force_direct","",1612167000,"2021-02-01"
1612167300000,0.6395,0.6399,0.63,0.6333,5478.79,3454.17,"force_direct","",1612167300,"2021-02-01"
1612167600000,0.6684,0.6705,0.6395,0.6395,15965.25,10421.69,"force_direct","",1612167600,"2021-02-01"
1612167900000,0.682,0.69,0.6621,0.6684,9743.94,6549.22,"force_direct","",1612167900,"2021-02-01"
1612168200000,0.6577,0.6899,0.6577,0.682,5202.93,3443.83,"force_direct","",1612168200,"2021-02-01"
1612168500000,0.6617,0.6834,0.6566,0.6577,7283.7,4814.03,"force_direct","",1612168500,"2021-02-01"
1612168800000,0.67,0.6817,0.6588,0.6617,3383.41,2278.95,"force_direct","",1612168800,"2021-02-01"
1612169100000,0.6787,0.6817,0.6601,0.67,3627.61,2438.29,"force_direct","",1612169100,"2021-02-01"
1612169400000,0.6572,0.6787,0.6572,0.6787,2365.8,1578.2,"force_direct","",1612169400,"2021-02-01"
1612169700000,0.666,0.666,0.6557,0.6572,1910.56,1256.33,"force_direct","",1612169700,"2021-02-01"
1612170000000,0.6404,0.666,0.615,0.666,3278.91,2082.45,"force_direct","",1612170000,"2021-02-01"
1612170300000,0.6463,0.6656,0.6355,0.6404,3658.33,2366.11,"force_direct","",1612170300,"2021-02-01"
1612170600000,0.6571,0.6655,0.6392,0.6463,4445.58,2954.59,"force_direct","",1612170600,"2021-02-01"
1612170900000,0.676,0.676,0.6535,0.6571,1558.46,1033.31,"force_direct","",1612170900,"2021-02-01"
1612171200000,0.6595,0.676,0.6595,0.676,1136.14,760.88,"force_direct","",1612171200,"2021-02-01"
1612171500000,0.665,0.6673,0.6595,0.6595,2087.93,1388.67,"force_direct","",1612171500,"2021-02-01"
1612171800000,0.6689,0.6689,0.6649,0.665,2408.13,1604.24,"force_direct","",1612171800,"2021-02-01"
1612172100000,0.6515,0.6689,0.6514,0.6689,898.44,594.16,"force_direct","",1612172100,"2021-02-01"
1612172400000,0.65,0.6599,0.65,0.6515,3944.13,2591.62,"force_direct","",1612172400,"2021-02-01"
1612172700000,0.6572,0.6572,0.6447,0.65,820.64,531.52,"force_direct","",1612172700,"2021-02-01"
1612173000000,0.6585,0.6634,0.65,0.6572,9893.76,6450.18,"force_direct","",1612173000,"2021-02-01"
1612173300000,0.6628,0.6628,0.6511,0.6585,2641.4,1747.57,"force_direct","",1612173300,"2021-02-01"
1612173600000,0.6699,0.6699,0.6511,0.6628,965.11,629.55,"force_direct","",1612173600,"2021-02-01"
1612173900000,0.6758,0.6759,0.6516,0.6699,1144.9,766.9,"force_direct","",1612173900,"2021-02-01"
1612174200000,0.6745,0.6758,0.6626,0.6758,7680.66,5175.12,"force_direct","",1612174200,"2021-02-01"
1612174500000,0.6583,0.6745,0.6583,0.6745,3572.63,2383.11,"force_direct","",1612174500,"2021-02-01"
1612174800000,0.6718,0.6718,0.6557,0.6583,123.24,82.31,"force_direct","",1612174800,"2021-02-01"
1612175100000,0.6655,0.6718,0.6645,0.6718,6073.86,4039.2,"force_direct","",1612175100,"2021-02-01"
1612175400000,0.676,0.676,0.6652,0.6655,698.76,466.81,"force_direct","",1612175400,"2021-02-01"
1612175700000,0.6975,0.7194,0.6739,0.676,11045.82,7719.02,"force_direct","",1612175700,"2021-02-01"
1612176000000,0.7161,0.7164,0.6886,0.6975,2524.18,1786.34,"force_direct","",1612176000,"2021-02-01"
1612176300000,0.6901,0.7161,0.69,0.7161,2613.21,1817.39,"force_direct","",1612176300,"2021-02-01"
1612176600000,0.7289,0.7299,0.6901,0.6901,2342.06,1663.28,"force_direct","",1612176600,"2021-02-01"
1612176900000,0.6994,0.7289,0.6951,0.7289,1239.9,892.49,"force_direct","",1612176900,"2021-02-01"
1612177200000,0.7225,0.75,0.6994,0.6994,15605.95,11494.67,"force_direct","",1612177200,"2021-02-01"
1612177500000,0.7401,0.7498,0.7225,0.7225,5829.88,4362.72,"force_direct","",1612177500,"2021-02-01"
1612177800000,0.72,0.7553,0.72,0.7401,5132.39,3821.42,"force_direct","",1612177800,"2021-02-01"
1612178100000,0.7237,0.7531,0.698,0.72,15223.37,10841,"force_direct","",1612178100,"2021-02-01"
1612178400000,0.7239,0.7349,0.688,0.7237,10542.42,7307.95,"force_direct","",1612178400,"2021-02-01"
1612178700000,0.725,0.7487,0.6895,0.7239,12294.91,8973.58,"force_direct","",1612178700,"2021-02-01"
1612179000000,0.7176,0.7444,0.7176,0.725,3792.8,2790.92,"force_direct","",1612179000,"2021-02-01"
1612179300000,0.7162,0.7424,0.7121,0.7176,10894.08,7917.42,"force_direct","",1612179300,"2021-02-01"
1612179600000,0.7281,0.7423,0.7156,0.7162,3912.18,2827.1,"force_direct","",1612179600,"2021-02-01"
1612179900000,0.721,0.742,0.7202,0.7281,4208.55,3072.63,"force_direct","",1612179900,"2021-02-01"
1612180200000,0.71,0.7399,0.71,0.721,2188.05,1583.51,"force_direct","",1612180200,"2021-02-01"
1612180500000,0.69,0.71,0.5714,0.71,65658.92,41556.17,"force_direct","",1612180500,"2021-02-01"
1612180800000,0.62,0.69,0.58,0.69,8175.57,4997.33,"force_direct","",1612180800,"2021-02-01"
1612181100000,0.62,0.6596,0.62,0.62,19633.69,12539.87,"force_direct","",1612181100,"2021-02-01"
1612181400000,0.5499,0.6299,0.531,0.62,47397.47,26617.6,"force_direct","",1612181400,"2021-02-01"
1612181700000,0.564,0.6231,0.5499,0.5499,8165.53,4690.62,"force_direct","",1612181700,"2021-02-01"
1612182000000,0.5706,0.6118,0.5608,0.564,5850.64,3469.57,"force_direct","",1612182000,"2021-02-01"
